id_pegawai,jk,tgl_lahir,rumpun_ilmu,stat_aktif,stat_pegawai,ikatan_kerja,pendidikan,pangkat,jabatan_akademik,sertifikasi,tahun_sertifikasi,tgl_jabatan_akademik,jenj_prodi,prodi,fakultas,usia,kelompok_usia,status_sertifikasi,mendekati_pensiun
490,P,1995-01-10,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2023-01-01,D3,Fisioterapi,FIKES,31,30-40,Belum,False
491,P,1990-07-23,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2023.0,2023-05-03,D3,Keperawatan,FIKES,36,30-40,Bersertifikat,False
492,P,1964-06-30,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,62,>55,Belum,True
493,P,1993-02-10,RUMPUN ILMU FORMAL,Aktif,PNS,Dosen Tetap,S2,III/c - Penata,Lektor,Belum Sertifikasi,,2023-07-03,S1,Sistem Informasi,FIK,33,30-40,Belum,False
494,L,1987-03-27,RUMPUN ILMU TERAPAN,TUGAS BELAJAR,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Lektor,Belum Sertifikasi,,2021-03-01,S1,Gizi,FIKES,39,30-40,Belum,False
495,P,1988-02-13,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,S1,Kedokteran,FK,38,30-40,Belum,False
496,P,1980-07-19,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,S1,Kedokteran,FK,46,41-50,Belum,False
497,P,1968-06-27,Tidak Terdefinisi,Aktif,ASN JF Non Dosen,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,58,>55,Belum,True
498,L,1981-07-23,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,45,41-50,Belum,False
499,P,1988-12-17,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,38,30-40,Belum,False
500,L,1968-02-03,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Sp-1,Radiologi,FK,58,>55,Belum,True
501,L,1993-11-05,Tidak Terdefinisi,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,S1,Hukum,FH,33,30-40,Belum,False
502,P,1988-06-09,RUMPUN ILMU HUMANIORA,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2023-04-01,S1,Hubungan Internasional,FH,38,30-40,Belum,False
503,L,1979-06-30,RUMPUN ILMU SOSIAL,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S3,III/d - Penata Tk. I,Lektor,Belum Sertifikasi,,2022-12-01,S2,Hubungan Internasional,FH,47,41-50,Belum,False
504,P,1984-07-22,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Lektor,Belum Sertifikasi,,2023-06-05,S1,Farmasi,FIKES,42,41-50,Belum,False
505,P,1992-06-18,Tidak Terdefinisi,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,S1,Ekonomi Syariah,FEB,34,30-40,Belum,False
506,P,1993-08-20,Tidak Terdefinisi,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2023-06-01,S1,Farmasi,FIKES,33,30-40,Belum,False
507,P,1993-10-23,Tidak Terdefinisi,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,S1,Ekonomi Syariah,FEB,33,30-40,Belum,False
508,P,1989-06-07,Tidak Terdefinisi,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,S1,Hukum,FH,37,30-40,Belum,False
509,P,1989-01-28,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Lektor,Sertifikasi Dosen,2019.0,2022-12-01,S1,Ilmu Komunikasi,FISIP,37,30-40,Bersertifikat,False
510,L,1991-10-08,RUMPUN ILMU SOSIAL,Aktif,NON ASN,Dosen Tidak Tetap,S2,Non-Golongan,Belum Ada,Belum Sertifikasi,,,S1,Hubungan Internasional,FH,35,30-40,Belum,False
511,L,1963-08-29,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S3,IV/e - Pembina Utama,Lektor,Belum Sertifikasi,,2023-07-10,S1,Akuntansi,FEB,63,>55,Belum,True
512,L,1986-01-27,RUMPUN ILMU TERAPAN,Aktif,CPNS,Dosen Tetap,S3,III/b - Penata Muda Tk. I,Lektor,Sertifikasi Dosen,2023.0,2022-07-01,S1,Hukum,FH,40,30-40,Bersertifikat,False
513,P,1988-01-17,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Sertifikasi Dosen,2024.0,2021-04-01,S1,Akuntansi,FEB,38,30-40,Bersertifikat,False
514,P,1993-05-07,RUMPUN ILMU TERAPAN,TUGAS BELAJAR,NON ASN,Dosen Tidak Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2019-03-01,S1,Hukum,FH,33,30-40,Belum,False
515,P,1992-08-30,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2022-10-01,S1,Hukum,FH,34,30-40,Belum,False
516,L,1978-05-11,RUMPUN ILMU FORMAL,Aktif,ASN JF Non Dosen,Dosen Tidak Tetap,S3,Non-Golongan,Lektor,Belum Sertifikasi,,2023-07-03,S1,Sistem Informasi,FIK,48,41-50,Belum,False
517,L,1992-10-18,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2023-08-01,S1,"Kajian Film, Televisi, dan Media",FISIP,34,30-40,Belum,False
518,L,1982-01-13,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,IV/a - Pembina,Lektor Kepala,Sertifikasi Dosen,2020.0,2023-08-01,D3,Akuntansi,FEB,44,41-50,Bersertifikat,False
519,L,1991-01-03,RUMPUN ILMU SOSIAL,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2023-07-03,S1,Ekonomi Syariah,FEB,35,30-40,Belum,False
520,P,1987-03-11,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Sertifikasi Dosen,2019.0,2017-11-01,S1,Ilmu Komunikasi,FISIP,39,30-40,Bersertifikat,False
521,L,1966-02-14,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/d - Penata Tk. I,Lektor,Sertifikasi Dosen,2012.0,2017-04-01,D3,Perbankan dan Keuangan,FEB,60,>55,Bersertifikat,True
522,P,1986-12-10,RUMPUN ILMU SOSIAL,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Lektor,Sertifikasi Dosen,2017.0,2020-03-01,D3,Akuntansi,FEB,40,30-40,Bersertifikat,False
523,P,1988-06-24,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Lektor,Sertifikasi Dosen,2022.0,2023-07-03,S1,Ilmu Komunikasi,FISIP,38,30-40,Bersertifikat,False
524,L,1989-01-02,RUMPUN ILMU SOSIAL,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2024.0,2020-09-01,S1,Hubungan Internasional,FH,37,30-40,Bersertifikat,False
525,P,1984-12-05,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Lektor,Sertifikasi Dosen,2017.0,2020-07-01,S1,Hukum,FH,42,41-50,Bersertifikat,False
526,L,1980-01-30,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2015.0,2020-05-01,S1,Hukum,FH,46,41-50,Bersertifikat,False
527,P,1992-07-19,RUMPUN ILMU SOSIAL,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,Non-Golongan,Asisten Ahli,Belum Sertifikasi,,2022-03-01,S1,Hubungan Internasional,FH,34,30-40,Belum,False
528,P,1998-03-30,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tidak Tetap,S2,Non-Golongan,Belum Ada,Belum Sertifikasi,,,S1,Farmasi,FIKES,28,<30,Belum,False
529,P,1965-02-05,RUMPUN ILMU TERAPAN,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/a - Penata Muda,Asisten Ahli,Sertifikasi Dosen,2018.0,2010-09-01,Profesi,Pendidikan Profesi Ners,FK,61,>55,Bersertifikat,True
530,L,1976-04-23,RUMPUN ILMU TERAPAN,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Sertifikasi Dosen,2021.0,2018-04-01,D3,Fisioterapi,FIKES,50,41-50,Bersertifikat,False
531,L,1989-10-19,RUMPUN ILMU TERAPAN,TUGAS BELAJAR,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Lektor,Sertifikasi Dosen,2021.0,2020-06-01,S1,Hukum,FH,37,30-40,Bersertifikat,False
532,P,1994-11-16,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2023-07-03,S1,Ilmu Komunikasi,FISIP,32,30-40,Belum,False
533,P,1972-10-26,RUMPUN ILMU TERAPAN,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2012.0,2022-12-01,S1,Hukum,FH,54,51-55,Bersertifikat,False
534,P,1977-01-02,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Lektor,Belum Sertifikasi,,2020-03-01,S1,Gizi,FIKES,49,41-50,Belum,False
535,L,1983-05-11,RUMPUN ILMU SOSIAL,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,Non-Golongan,Belum Ada,Belum Sertifikasi,,,S1,Hubungan Internasional,FH,43,41-50,Belum,False
536,L,1990-12-17,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2019-11-01,S1,Kesehatan Masyarakat,FIKES,36,30-40,Belum,False
537,P,1985-08-19,RUMPUN ILMU TERAPAN,Aktif,CPNS,Dosen Tetap,S3,III/d - Penata Tk. I,Lektor Kepala,Sertifikasi Dosen,2015.0,2023-05-01,S1,Kesehatan Masyarakat,FIKES,41,41-50,Bersertifikat,False
538,L,1985-08-22,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Lektor,Sertifikasi Dosen,2024.0,2025-01-01,S1,Akuntansi,FEB,41,41-50,Bersertifikat,False
539,P,1995-10-04,Tidak Terdefinisi,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,S1,Manajemen,FISIP,31,30-40,Belum,False
540,P,1986-11-23,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2022-08-01,S1,Manajemen,FISIP,40,30-40,Belum,False
541,L,1991-02-05,Tidak Terdefinisi,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,S1,Manajemen,FISIP,35,30-40,Belum,False
542,L,1990-05-07,RUMPUN ILMU TERAPAN,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,D3,Keperawatan,FIKES,36,30-40,Belum,False
543,P,1975-03-08,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Lektor,Sertifikasi Dosen,2019.0,2020-09-01,S1,Kedokteran,FK,51,51-55,Bersertifikat,False
544,P,1994-08-14,RUMPUN ILMU TERAPAN,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,S1,Keperawatan,FIKES,32,30-40,Belum,False
545,P,1990-03-29,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Lektor,Sertifikasi Dosen,2023.0,2022-10-01,D3,Keperawatan,FIKES,36,30-40,Bersertifikat,False
