id_pegawai,jk,tgl_lahir,rumpun_ilmu,stat_aktif,stat_pegawai,ikatan_kerja,pendidikan,pangkat,jabatan_akademik,sertifikasi,tahun_sertifikasi,tgl_jabatan_akademik,jenj_prodi,prodi,fakultas,usia,kelompok_usia,status_sertifikasi,mendekati_pensiun
570,L,1968-06-02,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S3,IV/d - Pembina Utama Madya,Profesor,Sertifikasi Dosen,2008.0,2024-12-01,S2,Ilmu Komunikasi,FISIP,58,>55,Bersertifikat,True
571,P,1985-12-21,RUMPUN ILMU TERAPAN,TUGAS BELAJAR,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Lektor,Sertifikasi Dosen,2018.0,2020-03-01,S1,Gizi,FIKES,40,30-40,Bersertifikat,False
572,P,1985-09-12,RUMPUN ILMU SOSIAL,Aktif,NON ASN,Dosen Tidak Tetap,S2,Non-Golongan,Asisten Ahli,Belum Sertifikasi,,2023-04-01,S1,Ilmu Politik,FISIP,41,41-50,Belum,False
573,P,1985-04-27,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tidak Tetap,S2,Non-Golongan,Belum Ada,Belum Sertifikasi,,,S1,Kedokteran,FK,41,41-50,Belum,False
574,P,1973-02-19,Tidak Terdefinisi,Aktif,ASN JF Non Dosen,Dosen Tidak Tetap,S3,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,53,51-55,Belum,False
575,P,1986-12-16,Tidak Terdefinisi,Aktif,ASN JF Non Dosen,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,40,30-40,Belum,False
576,P,1982-03-16,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,44,41-50,Belum,False
577,L,1986-12-04,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2017.0,2018-10-01,S1,Informatika,FIK,40,30-40,Bersertifikat,False
578,L,1973-01-11,Tidak Terdefinisi,Aktif,TNI,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,53,51-55,Belum,False
579,L,1964-10-24,Tidak Terdefinisi,Aktif,TNI,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,62,>55,Belum,True
580,P,1964-05-24,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,62,>55,Belum,True
581,P,1962-12-11,RUMPUN ILMU TERAPAN,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2018.0,2021-05-01,S1,Manajemen,FISIP,64,>55,Bersertifikat,True
582,L,1964-05-17,Tidak Terdefinisi,Aktif,TNI,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,62,>55,Belum,True
583,P,1960-08-15,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,66,>55,Belum,True
584,L,1968-05-09,Tidak Terdefinisi,Aktif,TNI,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,58,>55,Belum,True
585,P,1988-01-09,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S3,III/d - Penata Tk. I,Lektor,Sertifikasi Dosen,2019.0,2023-05-03,S2,Kesehatan Masyarakat,FIKES,38,30-40,Bersertifikat,False
586,L,1986-01-26,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,40,30-40,Belum,False
587,P,1982-12-27,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tidak Tetap,S2,III/b - Penata Muda Tk. I,Lektor,Belum Sertifikasi,,2023-07-03,S1,Kedokteran,FK,43,41-50,Belum,False
588,L,1987-02-12,RUMPUN ILMU SOSIAL,Aktif,PNS,Dosen Tetap,S2,III/d - Penata Tk. I,Lektor,Sertifikasi Dosen,2021.0,2021-09-01,S1,Ilmu Politik,FISIP,39,30-40,Bersertifikat,False
589,P,1974-07-30,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2016.0,2017-11-01,S1,Kedokteran,FK,52,51-55,Bersertifikat,False
590,L,1960-12-19,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tidak Tetap,Sp-2,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,66,>55,Belum,True
591,P,1974-07-19,Tidak Terdefinisi,Aktif,ASN JF Non Dosen,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,52,51-55,Belum,False
592,P,1966-05-04,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S3,III/d - Penata Tk. I,Lektor Kepala,Sertifikasi Dosen,2011.0,2020-08-01,S2,Sains Biomedis,FIKES,60,>55,Bersertifikat,True
593,P,1991-01-04,RUMPUN ILMU SOSIAL,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2021.0,2021-07-01,S1,Manajemen,FISIP,35,30-40,Bersertifikat,False
594,L,1990-08-09,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2023.0,2023-06-05,S1,Akuntansi,FEB,36,30-40,Bersertifikat,False
595,P,1976-09-26,RUMPUN ILMU TERAPAN,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2018.0,2023-06-05,S1,Kedokteran,FK,50,41-50,Bersertifikat,False
596,P,1974-04-30,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tidak Tetap,S3,Non-Golongan,Lektor,Belum Sertifikasi,,2022-06-01,S1,Kedokteran,FK,52,51-55,Belum,False
597,L,1983-11-06,Tidak Terdefinisi,Aktif,TNI,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,43,41-50,Belum,False
598,L,1982-09-01,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2022.0,2024-03-01,S1,Ilmu Komunikasi,FISIP,44,41-50,Bersertifikat,False
599,L,1975-04-27,RUMPUN ILMU TERAPAN,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Lektor,Sertifikasi Dosen,2017.0,2020-06-01,S1,Akuntansi,FEB,51,51-55,Bersertifikat,False
600,L,1982-08-09,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S3,III/b - Penata Muda Tk. I,Lektor,Sertifikasi Dosen,2022.0,2019-11-01,S1,Ilmu Komunikasi,FISIP,44,41-50,Bersertifikat,False
601,P,1973-04-14,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Sp-1,Radiologi,FK,53,51-55,Belum,False
602,P,1992-04-30,RUMPUN ILMU TERAPAN,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,D3,Fisioterapi,FIKES,34,30-40,Belum,False
603,L,1993-04-01,Tidak Terdefinisi,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,D3,Sistem Informasi,FIK,33,30-40,Belum,False
604,L,1991-11-10,Tidak Terdefinisi,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,D3,Akuntansi,FEB,35,30-40,Belum,False
605,P,1994-09-23,RUMPUN ILMU TERAPAN,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2022-07-01,D3,Akuntansi,FEB,32,30-40,Belum,False
606,P,1991-05-03,Tidak Terdefinisi,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Ners,FK,35,30-40,Belum,False
607,L,1993-03-23,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2023-07-03,S1,Hukum,FH,33,30-40,Belum,False
608,L,1975-05-26,RUMPUN ILMU TERAPAN,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/c - Penata,Asisten Ahli,Belum Sertifikasi,,2018-10-01,D3,Sistem Informasi,FIK,51,51-55,Belum,False
609,L,1989-10-24,Tidak Terdefinisi,TUGAS BELAJAR,PNS,Dosen Tetap,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2023.0,2023-05-01,S1,Ilmu Komunikasi,FISIP,37,30-40,Bersertifikat,False
610,L,1972-01-27,RUMPUN ILMU TERAPAN,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2019.0,2018-10-01,S1,Hukum,FH,54,51-55,Bersertifikat,False
611,L,1963-06-25,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,IV/c - Pembina Utama Muda,Lektor Kepala,Sertifikasi Dosen,2008.0,2007-04-01,S1,Hukum,FH,63,>55,Bersertifikat,True
612,L,1981-11-24,RUMPUN ILMU SOSIAL,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2022-07-01,S1,Ekonomi Pembangunan,FEB,45,41-50,Belum,False
613,L,1987-07-26,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2023-08-01,S1,"Kajian Film, Televisi, dan Media",FISIP,39,30-40,Belum,False
614,P,1993-06-17,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2022-08-01,S1,"Kajian Film, Televisi, dan Media",FISIP,33,30-40,Belum,False
615,L,1964-12-06,Tidak Terdefinisi,Aktif,PNS,Dosen Tetap,S2,IV/a - Pembina,Lektor,Sertifikasi Dosen,2015.0,2001-01-01,D3,Perbankan dan Keuangan,FEB,62,>55,Bersertifikat,True
616,P,1975-12-26,RUMPUN ILMU SOSIAL,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S3,III/c - Penata,Lektor,Sertifikasi Dosen,2024.0,2020-02-01,S2,Ilmu Politik,FISIP,50,41-50,Bersertifikat,False
617,L,1990-12-14,RUMPUN ILMU SOSIAL,Aktif,PNS,Dosen Tetap,S3,III/c - Penata,Lektor,Sertifikasi Dosen,2018.0,2019-07-01,S2,Ilmu Politik,FISIP,36,30-40,Bersertifikat,False
618,P,1970-07-14,RUMPUN ILMU SOSIAL,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Lektor,Belum Sertifikasi,,2021-05-01,S1,Ilmu Komunikasi,FISIP,56,>55,Belum,True
619,L,1965-10-02,Tidak Terdefinisi,Aktif,TNI,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,61,>55,Belum,True
620,P,1962-09-02,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,IV/b - Pembina Tk. I,Lektor Kepala,Belum Sertifikasi,,2005-07-01,D3,Sistem Informasi,FIK,64,>55,Belum,True
621,L,1992-07-08,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2024.0,2023-05-01,S1,Hukum,FH,34,30-40,Bersertifikat,False
622,L,1961-08-07,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,IV/b - Pembina Tk. I,Lektor,Belum Sertifikasi,,2023-05-03,S1,Hukum,FH,65,>55,Belum,True
623,L,1989-04-03,RUMPUN ILMU TERAPAN,TUGAS BELAJAR,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2018-04-01,D3,Fisioterapi,FIKES,37,30-40,Belum,False
624,L,1980-04-05,RUMPUN ILMU SOSIAL,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S3,III/b - Penata Muda Tk. I,Asisten Ahli,Sertifikasi Dosen,2024.0,2011-08-01,S2,Hubungan Internasional,FH,46,41-50,Bersertifikat,False
625,P,1961-03-18,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,IV/a - Pembina,Lektor,Sertifikasi Dosen,2011.0,2001-01-01,S1,Ekonomi Syariah,FEB,65,>55,Bersertifikat,True
626,P,1988-01-19,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Lektor,Sertifikasi Dosen,2021.0,2020-09-01,S1,Ilmu Komunikasi,FISIP,38,30-40,Bersertifikat,False
627,P,1965-11-08,RUMPUN ILMU TERAPAN,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,IV/a - Pembina,Lektor,Sertifikasi Dosen,2011.0,2000-01-01,D3,Perbankan dan Keuangan,FEB,61,>55,Bersertifikat,True
628,P,1989-01-04,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2023-08-01,S1,"Kajian Film, Televisi, dan Media",FISIP,37,30-40,Belum,False
629,L,1974-05-01,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S3,IV/a - Pembina,Lektor Kepala,Sertifikasi Dosen,2011.0,2014-12-01,S1,Ilmu Komunikasi,FISIP,52,51-55,Bersertifikat,False
630,P,1965-07-08,RUMPUN ILMU TERAPAN,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2012.0,2016-08-01,S1,Hukum,FH,61,>55,Bersertifikat,True
631,L,1991-10-13,RUMPUN ILMU TERAPAN,Aktif,CPNS,Dosen Tetap,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2020.0,2023-08-01,S1,Hukum,FH,35,30-40,Bersertifikat,False
632,P,1992-07-19,RUMPUN ILMU HUMANIORA,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2023-07-03,S1,Hukum,FH,34,30-40,Belum,False
633,L,1963-11-05,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/d - Penata Tk. I,Lektor,Sertifikasi Dosen,2018.0,2020-07-01,S1,Hukum,FH,63,>55,Bersertifikat,True
634,P,1975-05-31,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,Non-Golongan,Lektor,Belum Sertifikasi,,2022-11-01,S1,Kedokteran,FK,51,51-55,Belum,False
635,P,1982-05-02,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Lektor,Sertifikasi Dosen,2024.0,2023-07-03,S1,Teknik Elektro,FT,44,41-50,Bersertifikat,False
636,P,1998-09-09,Tidak Terdefinisi,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,S1,Sistem Informasi,FIK,28,<30,Belum,False
637,P,1993-09-22,RUMPUN ILMU TERAPAN,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,S1,Kesehatan Masyarakat,FIKES,33,30-40,Belum,False
638,P,1992-05-03,RUMPUN ILMU TERAPAN,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2022-08-01,S1,Akuntansi,FEB,34,30-40,Belum,False
639,L,1983-07-17,RUMPUN ILMU TERAPAN,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Lektor,Belum Sertifikasi,,2023-12-01,S1,Kesehatan Masyarakat,FIKES,43,41-50,Belum,False
640,P,1992-04-10,RUMPUN ILMU FORMAL,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2021-06-01,S1,Informatika,FIK,34,30-40,Belum,False
641,P,1992-11-20,RUMPUN ILMU TERAPAN,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Lektor,Sertifikasi Dosen,2022.0,2022-11-01,S1,Teknik Elektro,FT,34,30-40,Bersertifikat,False
642,P,1994-11-22,RUMPUN ILMU TERAPAN,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,S1,Teknik Industri,FT,32,30-40,Belum,False
643,P,1993-08-26,RUMPUN ILMU TERAPAN,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,33,30-40,Belum,False
644,P,1992-01-01,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2023-05-03,S1,Keperawatan,FIKES,34,30-40,Belum,False
645,P,1998-02-11,Tidak Terdefinisi,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,S1,Teknik Industri,FT,28,<30,Belum,False
646,L,1993-12-17,Tidak Terdefinisi,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,S1,Teknik Mesin,FT,33,30-40,Belum,False
647,P,1990-09-12,Tidak Terdefinisi,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,S1,Teknik Elektro,FT,36,30-40,Belum,False
648,P,1989-09-19,Tidak Terdefinisi,Aktif,CPNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Belum Ada,Belum Sertifikasi,,,S1,Teknik Industri,FT,37,30-40,Belum,False
649,P,1992-06-17,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2023-07-03,S1,Sains Data,FIK,34,30-40,Belum,False
650,P,1974-06-10,RUMPUN ILMU TERAPAN,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S3,III/c - Penata,Lektor,Sertifikasi Dosen,2015.0,2018-04-01,S1,Fisioterapi,FIKES,52,51-55,Bersertifikat,False
651,P,1980-06-08,RUMPUN ILMU TERAPAN,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S3,III/b - Penata Muda Tk. I,Asisten Ahli,Sertifikasi Dosen,2016.0,2013-04-01,S1,Kedokteran,FK,46,41-50,Bersertifikat,False
652,L,1966-03-19,Tidak Terdefinisi,Aktif,TNI,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,60,>55,Belum,True
653,L,1963-05-01,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S3,III/c - Penata,Lektor,Belum Sertifikasi,,2016-08-01,S2,Sains Biomedis,FIKES,63,>55,Belum,True
654,P,1979-12-06,RUMPUN ILMU TERAPAN,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S3,III/b - Penata Muda Tk. I,Asisten Ahli,Sertifikasi Dosen,2017.0,2016-01-01,S1,Manajemen,FISIP,47,41-50,Bersertifikat,False
655,L,1981-03-12,Tidak Terdefinisi,Aktif,TNI,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,45,41-50,Belum,False
656,L,1974-03-02,RUMPUN ILMU FORMAL,Aktif,PPPK,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Sertifikasi Dosen,2018.0,2014-01-01,S1,Sistem Informasi,FIK,52,51-55,Bersertifikat,False
657,P,1961-07-10,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,IV/a - Pembina,Lektor,Sertifikasi Dosen,2012.0,1998-11-01,S1,Manajemen,FISIP,65,>55,Bersertifikat,True
658,L,1986-11-12,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tidak Tetap,S2,Non-Golongan,Belum Ada,Belum Sertifikasi,,,S1,Sains Informasi,FISIP,40,30-40,Belum,False
659,L,1967-07-21,Tidak Terdefinisi,Aktif,TNI,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,59,>55,Belum,True
660,L,1962-05-23,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,64,>55,Belum,True
661,L,1993-06-15,RUMPUN ILMU FORMAL,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2024-05-01,S1,Informatika,FIK,33,30-40,Belum,False
662,P,1978-09-30,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tidak Tetap,S2,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,48,41-50,Belum,False
663,L,1984-08-26,RUMPUN ILMU SOSIAL,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,III/b - Penata Muda Tk. I,Lektor,Sertifikasi Dosen,2020.0,2021-06-01,S1,Ilmu Politik,FISIP,42,41-50,Bersertifikat,False
664,L,1980-01-12,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tidak Tetap,S3,Non-Golongan,Belum Ada,Belum Sertifikasi,,,S1,Manajemen,FISIP,46,41-50,Belum,False
665,L,1970-05-03,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/a - Penata Muda,Lektor,Sertifikasi Dosen,2016.0,2023-07-03,S1,Kesehatan Masyarakat,FIKES,56,>55,Bersertifikat,True
666,P,1982-04-07,RUMPUN ILMU SOSIAL,Aktif,NON ASN,Dosen Tetap Perjanjian Kerja Waktu Tertentu,S2,Non-Golongan,Asisten Ahli,Belum Sertifikasi,,2023-04-01,S1,Ilmu Politik,FISIP,44,41-50,Belum,False
667,L,1988-06-09,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S3,III/c - Penata,Lektor,Sertifikasi Dosen,2020.0,2023-05-03,D3,Keperawatan,FIKES,38,30-40,Bersertifikat,False
668,P,1976-02-15,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,IV/a - Pembina,Belum Ada,Belum Sertifikasi,,,S1,Kedokteran,FK,50,41-50,Belum,False
669,L,1972-12-19,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S3,III/d - Penata Tk. I,Lektor Kepala,Sertifikasi Dosen,2010.0,2023-04-01,S1,Teknik Elektro,FT,54,51-55,Bersertifikat,False
670,P,1964-06-26,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,IV/a - Pembina,Lektor,Sertifikasi Dosen,2011.0,2001-01-01,S1,Manajemen,FISIP,62,>55,Bersertifikat,True
671,P,1987-09-21,RUMPUN ILMU SOSIAL,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2021-04-01,S1,Akuntansi,FEB,39,30-40,Belum,False
672,L,1993-09-16,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/b - Penata Muda Tk. I,Asisten Ahli,Belum Sertifikasi,,2023-08-01,S1,Manajemen,FISIP,33,30-40,Belum,False
673,L,1973-07-01,Tidak Terdefinisi,Aktif,ASN JF Non Dosen,Dosen Tidak Tetap,S3,Non-Golongan,Belum Ada,Belum Sertifikasi,,,S1,Akuntansi,FEB,53,51-55,Belum,False
674,P,1980-10-18,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S3,III/d - Penata Tk. I,Lektor,Sertifikasi Dosen,2012.0,2013-08-01,S1,Kedokteran,FK,46,41-50,Bersertifikat,False
675,L,1964-02-02,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,IV/d - Pembina Utama Madya,Asisten Ahli,Belum Sertifikasi,,2024-01-15,S1,Manajemen,FISIP,62,>55,Belum,True
676,L,1988-07-06,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,38,30-40,Belum,False
677,L,1996-08-05,RUMPUN ILMU FORMAL,Aktif,PNS,Dosen Tetap,S2,III/c - Penata,Lektor,Belum Sertifikasi,,2023-07-03,S1,Sains Data,FIK,30,<30,Belum,False
678,P,1977-08-21,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S3,III/c - Penata,Lektor Kepala,Sertifikasi Dosen,2019.0,2023-08-01,S2,Sains Biomedis,FIKES,49,41-50,Bersertifikat,False
679,P,1991-02-07,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,Non-Golongan,Belum Ada,Belum Sertifikasi,,,S1,Manajemen,FISIP,35,30-40,Belum,False
680,P,1947-10-29,Tidak Terdefinisi,Aktif,NON ASN,Pengajar nondosen,S3,Non-Golongan,Profesor,Sertifikasi Dosen,2009.0,2010-04-30,S1,Kedokteran,FK,79,>55,Bersertifikat,True
681,P,1988-05-15,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/c - Penata,Lektor,Sertifikasi Dosen,2018.0,2023-05-03,S1,Kesehatan Masyarakat,FIKES,38,30-40,Bersertifikat,False
